sample_id,jaccard,f1,recall,precision,accuracy
1,0.8643256185155627,0.9272260273972602,0.9823129251700681,0.8779894608836644,0.99481201171875
2,0.7573441247002398,0.8619189765458423,0.9397433513111401,0.7959987397605545,0.9752960205078125
3,0.6300573016148637,0.7730492676431425,0.9618290258449305,0.6462154942119324,0.9349822998046875
4,0.36231884057971014,0.5319148936170213,0.5012996658002228,0.5665127989928661,0.8912353515625
5,0.042280029575855346,0.08112988520572681,0.947289156626506,0.04237973318959709,0.7825927734375
6,0.3824855119124276,0.5533302282254309,0.8353125,0.4136810338156775,0.8683013916015625
7,0.8669771208746709,0.9287495933195966,0.9975538730343623,0.8688241858577661,0.979949951171875
8,0.1745633957240191,0.2972396319509268,1.0,0.1745633957240191,0.83917236328125
9,0.8334380103002136,0.9091531926555221,0.9326679786336801,0.8867949746057204,0.979766845703125
10,0.4047712060838086,0.5762806132853779,0.4084947564853996,0.9779763402970048,0.6512603759765625
11,0.8679601773126953,0.9293133631589185,0.9697166517820898,0.8921422169106663,0.9722747802734375
12,0.5871641524591628,0.739890894775322,0.6131046695871004,0.9327850255246739,0.9294281005859375
13,0.6808173107430675,0.8101026880096648,0.6850338398671945,0.991040088675411,0.923248291015625
14,0.9078059749437841,0.9516753662232699,0.9739789763915216,0.9303703703703704,0.991241455078125
15,0.9292943296825177,0.9633515377982179,0.9491645426224865,0.9779690691566968,0.976654052734375
16,0.05455678177287291,0.10346864714321884,0.9855305466237942,0.05460051661173956,0.8379058837890625
17,0.28100263852242746,0.4387229660144181,1.0,0.28100263852242746,0.96673583984375
18,0.33587948228304687,0.502858958068615,0.9869077306733167,0.33738277919863596,0.952239990234375
19,0.6588122144746333,0.7943180171039281,0.6694356217933056,0.9764789736279401,0.870086669921875
20,0.752528901734104,0.8587920016491445,0.7816135084427768,0.9528819762122598,0.9686431884765625
21,0.7037037037037037,0.8260869565217391,0.7049811822005756,0.9974315604836184,0.897705078125
22,0.9394832761578045,0.9687975015891441,0.9484820607175714,0.9900022593764121,0.9827728271484375
23,0.8224658314350797,0.9025857354894149,0.9813147613385426,0.8355510558287532,0.9809722900390625
24,0.8933994422063837,0.9436988543371522,0.9707070707070707,0.9181528662420382,0.9947509765625
25,0.8632683658170914,0.9266173157386547,0.8848116048927408,0.9725694209850686,0.9652099609375
26,0.8984760362217478,0.9465234420444409,0.9701112877583465,0.9240554251533277,0.9789581298828125
27,0.8833426808749298,0.9380583680762359,0.9936908517350158,0.8883248730964467,0.990478515625
28,0.16031273783989483,0.2763267740011926,0.9118457300275482,0.1628364607491742,0.8148193359375
29,0.8001247271593389,0.8889658756279231,0.8481242769790117,0.9339399454049135,0.96087646484375
30,0.7271793038738216,0.8420426324503312,0.7413565344144308,0.9743758606238401,0.906829833984375
31,0.025497133097474686,0.04972638591482274,0.8244575936883629,0.025636307881018092,0.7562255859375
32,0.0,0.0,0.0,0.0,0.875396728515625
33,0.769714650378339,0.8698743045538841,0.9595408569155586,0.7955337793272402,0.961456298828125
34,0.7695399732023225,0.8697627460878344,0.9976838448176027,0.770917225950783,0.99212646484375
35,0.7915735716565592,0.8836629253518617,0.9608678806664084,0.8179419525065963,0.9900360107421875
36,0.1958893280632411,0.3276044420941301,0.9301801801801802,0.19881258023106546,0.922393798828125
37,0.1459341962256694,0.25469908604931885,0.9541343669250646,0.14696517412935323,0.86810302734375
38,0.031588028402681004,0.06124155677066581,1.0,0.031588028402681004,0.7773284912109375
39,0.36000345990831245,0.5294155059467023,0.45209645883119703,0.6386374098511585,0.8871002197265625
40,0.06976744186046512,0.13043478260869565,0.7648283038501561,0.07129692501697546,0.8504638671875
41,0.6508750926401004,0.7885213067200774,0.7124048421315362,0.8828487472935355,0.90655517578125
42,0.8072824156305506,0.8933660933660934,0.8497312456181351,0.9417249417249417,0.9735107421875
43,0.7246624717453723,0.840352803655556,0.7292736159355692,0.9913501316284318,0.862457275390625
44,0.9575733368836817,0.978326909997733,0.9779278462654097,0.978726299555475,0.98541259765625
45,0.09037023527266096,0.16576064230158066,0.5382944052145573,0.0979636219849743,0.8477935791015625
46,0.9056700153243658,0.9505003573981415,0.9975618904726181,0.907679180887372,0.991546630859375
47,0.8299418604651163,0.9070691024622717,0.9878892733564014,0.8384728340675477,0.9946441650390625
48,0.5152366094643785,0.6800741300020592,0.7017991216886245,0.6596537949400799,0.9288787841796875
49,0.7410449463837554,0.8512645786921766,0.8107838242636046,0.896,0.9826812744140625
50,0.8174401497926976,0.8995511075134299,0.8468306200207828,0.9592717570430824,0.958343505859375
51,0.48380082626657966,0.6521101992966002,0.9255407653910149,0.503393665158371,0.963775634765625
52,0.7878586462833721,0.8813433298221699,0.9245969838793552,0.8419557239256541,0.9707794189453125
53,0.44166112176601824,0.6127114272527353,0.44271814187068426,0.9946231820185104,0.7823333740234375
54,0.3363052592474659,0.5033359809372517,0.8953094094376942,0.35007181526903103,0.809173583984375
55,0.49820404562354276,0.665068349106204,0.9389548693586698,0.5148811462064474,0.8784942626953125
56,0.8306655433866892,0.9075011504832029,0.9570160843039379,0.862857857232154,0.9785308837890625
57,0.7328261871830336,0.8458161500598643,0.8126278118609407,0.8818307905686547,0.9823150634765625
58,0.8620426413653961,0.925910741478271,0.8701563188022897,0.9892991239048811,0.961395263671875
59,0.5560920193126953,0.714728965139624,0.5579301305066393,0.9941104792851341,0.761505126953125
60,0.9214022456501243,0.9590935450773966,0.9345388159610536,0.984973428623786,0.9860076904296875
61,0.803613020507868,0.8911146807773473,0.9794364051789795,0.8174043684271352,0.9472503662109375
